author,comment,published_at
@christophercampo9099,"Thank you, thank you THANK YOU!  This was so helpful, easy to follow and made perfect sense.",2024-09-14T20:58:56Z
@abderrahmanehamim6692,Thank you very much,2024-09-14T03:21:11Z
@GarrettSchwarzenbach-u9v,Roberts Isle,2024-09-10T01:06:45Z
@MarionWilliams-m7x,Brown Gary Martinez Dorothy Garcia James,2024-09-04T08:44:04Z
@corbanb,Jay! Thanks for the video and content very cool to see. Curious why Airflow over something like FiveTran besides the ability to self host? Any gotchas?,2024-08-28T16:25:45Z
@uppinder,26:00 item_discount_amount is supposed to be negative because the macro defined it as such. I also checked the data on snowflake and they're all negative amounts. Did I miss something?,2024-08-19T14:49:26Z
@albertcampillo,"Hi @jayzern, thanks a lot for your video, really valuable content!",2024-08-19T13:32:25Z
@CosmicNomad,"This is such an amazing video @jayzern! The project taken was not overly complex but also not barebones and covered a lot of important stuff! Thanks for being thoughtful and including the code along link (else some of formatting issues would have bugged many newbies)! 
 I think you should keep creating more videos as you are a good teacher. Only suggestion I have is may be include a bit more explanation, which will help beginners even more! Kudos!",2024-08-18T09:51:33Z
@tianhockwoo3025,"Hello did anyone else face this error at Airflow after @32:50 

Broken DAG: [/usr/local/airflow/dags/dbt-dag.py]
Traceback (most recent call last):
  File ""/usr/local/lib/python3.12/site-packages/cosmos/operators/base.py"", line 361, in __init__
    self.full_refresh = full_refresh
    ^^^^^^^^^^^^^^^^^
  File ""/usr/local/lib/python3.12/site-packages/airflow/models/baseoperator.py"", line 1198, in __setattr__
    if key in self.__init_kwargs:
              ^^^^^^^^^^^^^^^^^^
AttributeError: 'DbtRunLocalOperator' object has no attribute '_BaseOperator__init_kwargs'. Did you mean: '_BaseOperator__instantiated'?

please send help",2024-08-17T13:54:37Z
@GeorgeNyamao,Thanks @jayzern. This tutorial is awesome. I will be recommending it to folks who struggle with connecting dbt with any database engine.,2024-08-15T22:44:47Z
@SteynGun-n2u,"hi guys kindly help me out, does only snowflakes and dbt is enought are i have to learn hadoop, spark etc i am working as data analyst for last 1 year and planning to switch to de",2024-08-15T16:56:58Z
